SUBJECT-FILE,category1,filename1,item1,Tar_typ1,Dis_Typ1,Sim-Dif1,Dis_num1,Tarpic1,dispic1,leftpic1,rightpic1,compare-image1,category2,filename2,item2,Tar_typ2,Dis_Typ2,Sim-Dif2,Dis_num2,Tarpic2,dispic2,leftpic2,rightpic2,compare-image2,category3,filename3,item3,Tar_typ3,Dis_Typ3,Sim-Dif3,Dis_num3,Tarpic3,dispic3,leftpic3,rightpic3,compare-image3,category4,filename4,item4,Tar_typ4,Dis_Typ4,Sim-Dif4,Dis_num4,Tarpic4,dispic4,leftpic4,rightpic4,compare-image4
5,DOG,DOG,16,Typical,atyp,sim,5,Typical_DOG.tga,DOG_atyp_sim5.tga,DOG_atyp_sim5.tga,Typical_DOG.tga,Typical_DOG_atyp_sim5.bmp,CANDLE ,CANDLE,12,Typical,typ,sim,3,Typical_CANDLE.tga,CANDLE_typ_sim3.tga,CANDLE_typ_sim3.tga,Typical_CANDLE.tga,Typical_CANDLE_typ_sim3.bmp,STAPLER ,STAPLER,35,Typical,atyp,dis,2,Typical_STAPLER.tga,STAPLER_atyp_dis2.tga,Typical_STAPLER.tga,STAPLER_atyp_dis2.tga,Typical_STAPLER_atyp_dis2.bmp,HELMET ,HELMET,27,Atypical,atyp,sim,2,Atypical_HELMET.tga,HELMET_atyp_sim2.tga,Atypical_HELMET.tga,HELMET_atyp_sim2.tga,Atypical_HELMET_atyp_sim2.bmp
5,BRIEFCASE,BRIEFCASE,8,Typical,atyp,sim,1,Typical_BRIEFCASE.tga,BRIEFCASE_atyp_sim1.tga,BRIEFCASE_atyp_sim1.tga,Typical_BRIEFCASE.tga,Typical_BRIEFCASE_atyp_sim1.bmp,SWORD ,SWORD,36,Atypical,atyp,sim,4,Atypical_SWORD.tga,SWORD_atyp_sim4.tga,SWORD_atyp_sim4.tga,Atypical_SWORD.tga,Atypical_SWORD_atyp_sim4.bmp,GRENADE ,GRENADE,23,Typical,typ,sim,1,Typical_GRENADE.tga,GRENADE_typ_sim1.tga,Typical_GRENADE.tga,GRENADE_typ_sim1.tga,Typical_GRENADE_typ_sim1.bmp,PIPE ,PIPE,31,Typical,typ,sim,5,Typical_PIPE.tga,PIPE_typ_sim5.tga,Typical_PIPE.tga,PIPE_typ_sim5.tga,Typical_PIPE_typ_sim5.bmp
5,IRON ,IRON,28,Typical,atyp,sim,1,Typical_IRON.tga,IRON_atyp_sim1.tga,IRON_atyp_sim1.tga,Typical_IRON.tga,Typical_IRON_atyp_sim1.bmp,LEAF ,LEAF,30,Typical,typ,dis,2,Typical_LEAF.tga,LEAF_typ_dis2.tga,LEAF_typ_dis2.tga,Typical_LEAF.tga,Typical_LEAF_typ_dis2.bmp,TELEPHONE ,TELEPHONE,39,Typical,typ,dis,4,Typical_TELEPHONE.tga,TELEPHONE_typ_dis4.tga,Typical_TELEPHONE.tga,TELEPHONE_typ_dis4.tga,Typical_TELEPHONE_typ_dis4.bmp,DOG ,DOG,16,Atypical,atyp,sim,4,Atypical_DOG.tga,DOG_atyp_sim4.tga,DOG_atyp_sim4.tga,Atypical_DOG.tga,Atypical_DOG_atyp_sim4.bmp
5,FAN ,FAN,20,Typical,typ,dis,2,Typical_FAN.tga,FAN_typ_dis2.tga,FAN_typ_dis2.tga,Typical_FAN.tga,Typical_FAN_typ_dis2.bmp,CANDLE ,CANDLE,12,Atypical,typ,sim,2,Atypical_CANDLE.tga,CANDLE_typ_sim2.tga,CANDLE_typ_sim2.tga,Atypical_CANDLE.tga,Atypical_CANDLE_typ_sim2.bmp,PIPE ,PIPE,31,Atypical,typ,sim,4,Atypical_PIPE.tga,PIPE_typ_sim4.tga,Atypical_PIPE.tga,PIPE_typ_sim4.tga,Atypical_PIPE_typ_sim4.bmp,HAT ,HAT,25,Typical,atyp,dis,2,Typical_HAT.tga,HAT_atyp_dis2.tga,Typical_HAT.tga,HAT_atyp_dis2.tga,Typical_HAT_atyp_dis2.bmp
5,SCISSORS ,SCISSORS,34,Typical,atyp,dis,4,Typical_SCISSORS.tga,SCISSORS_atyp_dis4.tga,SCISSORS_atyp_dis4.tga,Typical_SCISSORS.tga,Typical_SCISSORS_atyp_dis4.bmp,GLASSES ,GLASSES,22,Typical,typ,sim,3,Typical_GLASSES.tga,GLASSES_typ_sim3.tga,GLASSES_typ_sim3.tga,Typical_GLASSES.tga,Typical_GLASSES_typ_sim3.bmp,DRILL ,DRILL,18,Typical,atyp,sim,1,Typical_DRILL.tga,DRILL_atyp_sim1.tga,DRILL_atyp_sim1.tga,Typical_DRILL.tga,Typical_DRILL_atyp_sim1.bmp,BENCH,BENCH,5,Typical,atyp,dis,2,Typical_BENCH.tga,BENCH_atyp_dis2.tga,Typical_BENCH.tga,BENCH_atyp_dis2.tga,Typical_BENCH_atyp_dis2.bmp
5,GLASSES ,GLASSES,22,Atypical,typ,sim,2,Atypical_GLASSES.tga,GLASSES_typ_sim2.tga,GLASSES_typ_sim2.tga,Atypical_GLASSES.tga,Atypical_GLASSES_typ_sim2.bmp,BICYCLE ,BICYCLE,6,Typical,atyp,sim,5,Typical_BICYCLE.tga,BICYCLE_atyp_sim5.tga,BICYCLE_atyp_sim5.tga,Typical_BICYCLE.tga,Typical_BICYCLE_atyp_sim5.bmp,TAPE DISPENSER ,TAPE,38,Typical,atyp,sim,1,Typical_TAPE.tga,TAPE_atyp_sim1.tga,TAPE_atyp_sim1.tga,Typical_TAPE.tga,Typical_TAPE_atyp_sim1.bmp,WRENCH ,WRENCH,40,Typical,typ,dis,2,Typical_WRENCH.tga,WRENCH_typ_dis2.tga,WRENCH_typ_dis2.tga,Typical_WRENCH.tga,Typical_WRENCH_typ_dis2.bmp
5,DOORKNOB ,DOORKNOB,17,Typical,atyp,sim,3,Typical_DOORKNOB.tga,DOORKNOB_atyp_sim3.tga,Typical_DOORKNOB.tga,DOORKNOB_atyp_sim3.tga,Typical_DOORKNOB_atyp_sim3.bmp,CHAIR ,CHAIR,13,Typical,typ,sim,1,Typical_CHAIR.tga,CHAIR_typ_sim1.tga,Typical_CHAIR.tga,CHAIR_typ_sim1.tga,Typical_CHAIR_typ_sim1.bmp,CAKE,CAKE,10,Typical,typ,dis,2,Typical_CAKE.tga,CAKE_typ_dis2.tga,CAKE_typ_dis2.tga,Typical_CAKE.tga,Typical_CAKE_typ_dis2.bmp,CLOCK,CLOCK,14,Typical,atyp,dis,4,Typical_CLOCK.tga,CLOCK_atyp_dis4.tga,CLOCK_atyp_dis4.tga,Typical_CLOCK.tga,Typical_CLOCK_atyp_dis4.bmp
5,DOORKNOB ,DOORKNOB,17,Atypical,atyp,sim,2,Atypical_DOORKNOB.tga,DOORKNOB_atyp_sim2.tga,Atypical_DOORKNOB.tga,DOORKNOB_atyp_sim2.tga,Atypical_DOORKNOB_atyp_sim2.bmp,BOTTLE ,BOTTLE,7,Typical,atyp,sim,3,Typical_BOTTLE.tga,BOTTLE_atyp_sim3.tga,Typical_BOTTLE.tga,BOTTLE_atyp_sim3.tga,Typical_BOTTLE_atyp_sim3.bmp,CAKE ,CAKE,10,Atypical,typ,dis,1,Atypical_CAKE.tga,CAKE_typ_dis1.tga,CAKE_typ_dis1.tga,Atypical_CAKE.tga,Atypical_CAKE_typ_dis1.bmp,TABLE,TABLE,37,Typical,atyp,sim,3,Typical_TABLE.tga,TABLE_atyp_sim3.tga,Typical_TABLE.tga,TABLE_atyp_sim3.tga,Typical_TABLE_atyp_sim3.bmp
5,BENCH ,BENCH,5,Atypical,atyp,dis,1,Atypical_BENCH.tga,BENCH_atyp_dis1.tga,Atypical_BENCH.tga,BENCH_atyp_dis1.tga,Atypical_BENCH_atyp_dis1.bmp,TELEPHONE ,TELEPHONE,39,Atypical,typ,dis,3,Atypical_TELEPHONE.tga,TELEPHONE_typ_dis3.tga,Atypical_TELEPHONE.tga,TELEPHONE_typ_dis3.tga,Atypical_TELEPHONE_typ_dis3.bmp,HELMET ,HELMET,27,Typical,atyp,sim,3,Typical_HELMET.tga,HELMET_atyp_sim3.tga,Typical_HELMET.tga,HELMET_atyp_sim3.tga,Typical_HELMET_atyp_sim3.bmp,APPLE ,APPLE,1,Typical,typ,sim,5,Typical_APPLE.tga,APPLE_typ_sim5.tga,Typical_APPLE.tga,APPLE_typ_sim5.tga,Typical_APPLE_typ_sim5.bmp
5,CAMERA ,CAMERA,11,Typical,typ,sim,5,Typical_CAMERA.tga,CAMERA_typ_sim5.tga,Typical_CAMERA.tga,CAMERA_typ_sim5.tga,Typical_CAMERA_typ_sim5.bmp,BASKET ,BASKET,4,Atypical,atyp,dis,3,Atypical_BASKET.tga,BASKET_atyp_dis3.tga,BASKET_atyp_dis3.tga,Atypical_BASKET.tga,Atypical_BASKET_atyp_dis3.bmp,CHAIR ,CHAIR,13,Atypical,atyp,dis,5,Atypical_CHAIR.tga,CHAIR_atyp_dis5.tga,Atypical_CHAIR.tga,CHAIR_atyp_dis5.tga,Atypical_CHAIR_atyp_dis5.bmp,BASKET ,BASKET,4,Typical,atyp,dis,4,Typical_BASKET.tga,BASKET_atyp_dis4.tga,BASKET_atyp_dis4.tga,Typical_BASKET.tga,Typical_BASKET_atyp_dis4.bmp
