HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.SUBJECT-FILE,Input.category1,Input.filename1,Input.item1,Input.Tar_typ1,Input.Dis_Typ1,Input.Sim-Dif1,Input.Dis_num1,Input.Tarpic1,Input.dispic1,Input.leftpic1,Input.rightpic1,Input.compare-image1,Input.category2,Input.filename2,Input.item2,Input.Tar_typ2,Input.Dis_Typ2,Input.Sim-Dif2,Input.Dis_num2,Input.Tarpic2,Input.dispic2,Input.leftpic2,Input.rightpic2,Input.compare-image2,Input.category3,Input.filename3,Input.item3,Input.Tar_typ3,Input.Dis_Typ3,Input.Sim-Dif3,Input.Dis_num3,Input.Tarpic3,Input.dispic3,Input.leftpic3,Input.rightpic3,Input.compare-image3,Input.category4,Input.filename4,Input.item4,Input.Tar_typ4,Input.Dis_Typ4,Input.Sim-Dif4,Input.Dis_num4,Input.Tarpic4,Input.dispic4,Input.leftpic4,Input.rightpic4,Input.compare-image4,Answer.Dis_Typ,Answer.Dis_num,Answer.SUBJECT-FILE,Answer.Sim-Dif,Answer.Tar_typ,Answer.Tarpic,Answer.category,Answer.compare-image,Answer.dispic,Answer.filename,Answer.im1response,Answer.im2response,Answer.im3response,Answer.im4response,Answer.item,Answer.leftpic,Answer.rightpic,Approve,Reject
3UQVX1UPFS8H2UAD8NO2SEUN0GO02Q,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,3HMVI3QICKJAXOMVNT4Z37AOSQ91YN,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:38:23 PST 2017,Thu Feb 23 10:38:42 PST 2017,Thu Mar 02 10:38:42 PST 2017,,,,19,0% (0/0),0% (0/0),0% (0/0),1,GLASSES,GLASSES,22,Typical,atyp,dis,4,Typical_GLASSES.tga,GLASSES_atyp_dis4.tga,GLASSES_atyp_dis4.tga,Typical_GLASSES.tga,Typical_GLASSES_atyp_dis4.bmp,DRUM,DRUM,19,Atypical,typ,sim,4,Atypical_DRUM.tga,DRUM_typ_sim4.tga,Atypical_DRUM.tga,DRUM_typ_sim4.tga,Atypical_DRUM_typ_sim4.bmp,HELMET,HELMET,27,Typical,typ,dis,4,Typical_HELMET.tga,HELMET_typ_dis4.tga,Typical_HELMET.tga,HELMET_typ_dis4.tga,Typical_HELMET_typ_dis4.bmp,GLASSES,GLASSES,22,Atypical,atyp,dis,3,Atypical_GLASSES.tga,GLASSES_atyp_dis3.tga,GLASSES_atyp_dis3.tga,Atypical_GLASSES.tga,Atypical_GLASSES_atyp_dis3.bmp,atyp|typ|typ|atyp,4|4|4|3,1|1|1|1,dis|sim|dis|dis,Typical|Atypical|Typical|Atypical,Typical_GLASSES.tga|Atypical_DRUM.tga|Typical_HELMET.tga|Atypical_GLASSES.tga,GLASSES|DRUM|HELMET|GLASSES,Typical_GLASSES_atyp_dis4.bmp|Atypical_DRUM_typ_sim4.bmp|Typical_HELMET_typ_dis4.bmp|Atypical_GLASSES_atyp_dis3.bmp,GLASSES_atyp_dis4.tga|DRUM_typ_sim4.tga|HELMET_typ_dis4.tga|GLASSES_atyp_dis3.tga,GLASSES|DRUM|HELMET|GLASSES,1,1,1,2,22|19|27|22,GLASSES_atyp_dis4.tga|Atypical_DRUM.tga|Typical_HELMET.tga|GLASSES_atyp_dis3.tga,Typical_GLASSES.tga|DRUM_typ_sim4.tga|HELMET_typ_dis4.tga|Atypical_GLASSES.tga,,
36D1BWBEHNSE58HKXSB0QB103JP2M3,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,32N49TQG3H9PNI4QE1A879ZXE3DAVB,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:39:59 PST 2017,Thu Feb 23 10:40:16 PST 2017,Thu Mar 02 10:40:16 PST 2017,,,,17,0% (0/0),0% (0/0),0% (0/0),1,PISTOL,PISTOL,32,Atypical,atyp,dis,3,Atypical_PISTOL.tga,PISTOL_atyp_dis3.tga,PISTOL_atyp_dis3.tga,Atypical_PISTOL.tga,Atypical_PISTOL_atyp_dis3.bmp,BAG,BAG,3,Atypical,atyp,dis,1,Atypical_BAG.tga,BAG_atyp_dis1.tga,Atypical_BAG.tga,BAG_atyp_dis1.tga,Atypical_BAG_atyp_dis1.bmp,LAMP,LAMP,29,Typical,typ,sim,5,Typical_LAMP.tga,LAMP_typ_sim5.tga,Typical_LAMP.tga,LAMP_typ_sim5.tga,Typical_LAMP_typ_sim5.bmp,TABLE,TABLE,37,Typical,typ,dis,4,Typical_TABLE.tga,TABLE_typ_dis4.tga,Typical_TABLE.tga,TABLE_typ_dis4.tga,Typical_TABLE_typ_dis4.bmp,atyp|atyp|typ|typ,3|1|5|4,1|1|1|1,dis|dis|sim|dis,Atypical|Atypical|Typical|Typical,Atypical_PISTOL.tga|Atypical_BAG.tga|Typical_LAMP.tga|Typical_TABLE.tga,PISTOL|BAG|LAMP|TABLE,Atypical_PISTOL_atyp_dis3.bmp|Atypical_BAG_atyp_dis1.bmp|Typical_LAMP_typ_sim5.bmp|Typical_TABLE_typ_dis4.bmp,PISTOL_atyp_dis3.tga|BAG_atyp_dis1.tga|LAMP_typ_sim5.tga|TABLE_typ_dis4.tga,PISTOL|BAG|LAMP|TABLE,1,1,1,1,32|3|29|37,PISTOL_atyp_dis3.tga|Atypical_BAG.tga|Typical_LAMP.tga|Typical_TABLE.tga,Atypical_PISTOL.tga|BAG_atyp_dis1.tga|LAMP_typ_sim5.tga|TABLE_typ_dis4.tga,,
34KYK9TV2RZBRGUL0I0X3D3APEJSB6,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,3A0EX8ZRN9FBAM4NPQXO9JNXE20BYG,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:38:43 PST 2017,Thu Feb 23 10:38:57 PST 2017,Thu Mar 02 10:38:57 PST 2017,,,,14,0% (0/0),0% (0/0),0% (0/0),1,TELEPHONE,TELEPHONE,39,Atypical,typ,sim,4,Atypical_TELEPHONE.tga,TELEPHONE_typ_sim4.tga,Atypical_TELEPHONE.tga,TELEPHONE_typ_sim4.tga,Atypical_TELEPHONE_typ_sim4.bmp,TAPE DISPENSER,TAPE,38,Atypical,typ,dis,1,Atypical_TAPE.tga,TAPE_typ_dis1.tga,TAPE_typ_dis1.tga,Atypical_TAPE.tga,Atypical_TAPE_typ_dis1.bmp,BOTTLE,BOTTLE,7,Atypical,typ,dis,3,Atypical_BOTTLE.tga,BOTTLE_typ_dis3.tga,Atypical_BOTTLE.tga,BOTTLE_typ_dis3.tga,Atypical_BOTTLE_typ_dis3.bmp,DRUM,DRUM,19,Typical,typ,sim,5,Typical_DRUM.tga,DRUM_typ_sim5.tga,Typical_DRUM.tga,DRUM_typ_sim5.tga,Typical_DRUM_typ_sim5.bmp,typ|typ|typ|typ,4|1|3|5,1|1|1|1,sim|dis|dis|sim,Atypical|Atypical|Atypical|Typical,Atypical_TELEPHONE.tga|Atypical_TAPE.tga|Atypical_BOTTLE.tga|Typical_DRUM.tga,TELEPHONE|TAPE DISPENSER|BOTTLE|DRUM,Atypical_TELEPHONE_typ_sim4.bmp|Atypical_TAPE_typ_dis1.bmp|Atypical_BOTTLE_typ_dis3.bmp|Typical_DRUM_typ_sim5.bmp,TELEPHONE_typ_sim4.tga|TAPE_typ_dis1.tga|BOTTLE_typ_dis3.tga|DRUM_typ_sim5.tga,TELEPHONE|TAPE|BOTTLE|DRUM,1,1,1,1,39|38|7|19,Atypical_TELEPHONE.tga|TAPE_typ_dis1.tga|Atypical_BOTTLE.tga|Typical_DRUM.tga,TELEPHONE_typ_sim4.tga|Atypical_TAPE.tga|BOTTLE_typ_dis3.tga|DRUM_typ_sim5.tga,,
3SZYX62S5GRNJ2TKB5B9507MS4L57W,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,3DBQWDE4Y7PF97J0HEX0PHPY0MAN51,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:40:16 PST 2017,Thu Feb 23 10:40:31 PST 2017,Thu Mar 02 10:40:31 PST 2017,,,,15,0% (0/0),0% (0/0),0% (0/0),1,PISTOL,PISTOL,32,Typical,atyp,dis,4,Typical_PISTOL.tga,PISTOL_atyp_dis4.tga,PISTOL_atyp_dis4.tga,Typical_PISTOL.tga,Typical_PISTOL_atyp_dis4.bmp,DOORKNOB,DOORKNOB,17,Atypical,typ,dis,3,Atypical_DOORKNOB.tga,DOORKNOB_typ_dis3.tga,Atypical_DOORKNOB.tga,DOORKNOB_typ_dis3.tga,Atypical_DOORKNOB_typ_dis3.bmp,TELEPHONE,TELEPHONE,39,Typical,typ,sim,5,Typical_TELEPHONE.tga,TELEPHONE_typ_sim5.tga,Typical_TELEPHONE.tga,TELEPHONE_typ_sim5.tga,Typical_TELEPHONE_typ_sim5.bmp,WRENCH,WRENCH,40,Atypical,typ,sim,2,Atypical_WRENCH.tga,WRENCH_typ_sim2.tga,WRENCH_typ_sim2.tga,Atypical_WRENCH.tga,Atypical_WRENCH_typ_sim2.bmp,atyp|typ|typ|typ,4|3|5|2,1|1|1|1,dis|dis|sim|sim,Typical|Atypical|Typical|Atypical,Typical_PISTOL.tga|Atypical_DOORKNOB.tga|Typical_TELEPHONE.tga|Atypical_WRENCH.tga,PISTOL|DOORKNOB|TELEPHONE|WRENCH,Typical_PISTOL_atyp_dis4.bmp|Atypical_DOORKNOB_typ_dis3.bmp|Typical_TELEPHONE_typ_sim5.bmp|Atypical_WRENCH_typ_sim2.bmp,PISTOL_atyp_dis4.tga|DOORKNOB_typ_dis3.tga|TELEPHONE_typ_sim5.tga|WRENCH_typ_sim2.tga,PISTOL|DOORKNOB|TELEPHONE|WRENCH,1,1,2,1,32|17|39|40,PISTOL_atyp_dis4.tga|Atypical_DOORKNOB.tga|Typical_TELEPHONE.tga|WRENCH_typ_sim2.tga,Typical_PISTOL.tga|DOORKNOB_typ_dis3.tga|TELEPHONE_typ_sim5.tga|Atypical_WRENCH.tga,,
3EFNPKWBMSF6NC6WCN27BOZF6UO031,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,3EICBYG645N4P21UHQSGAGERJJRCJU,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:39:18 PST 2017,Thu Feb 23 10:39:35 PST 2017,Thu Mar 02 10:39:35 PST 2017,,,,17,0% (0/0),0% (0/0),0% (0/0),1,FLOWER,FLOWER,21,Atypical,atyp,dis,5,Atypical_FLOWER.tga,FLOWER_atyp_dis5.tga,Atypical_FLOWER.tga,FLOWER_atyp_dis5.tga,Atypical_FLOWER_atyp_dis5.bmp,CLOCK,CLOCK,14,Atypical,atyp,sim,4,Atypical_CLOCK.tga,CLOCK_atyp_sim4.tga,CLOCK_atyp_sim4.tga,Atypical_CLOCK.tga,Atypical_CLOCK_atyp_sim4.bmp,GRENADE,GRENADE,23,Atypical,atyp,dis,1,Atypical_GRENADE.tga,GRENADE_atyp_dis1.tga,Atypical_GRENADE.tga,GRENADE_atyp_dis1.tga,Atypical_GRENADE_atyp_dis1.bmp,SCISSORS,SCISSORS,34,Atypical,atyp,sim,4,Atypical_SCISSORS.tga,SCISSORS_atyp_sim4.tga,SCISSORS_atyp_sim4.tga,Atypical_SCISSORS.tga,Atypical_SCISSORS_atyp_sim4.bmp,atyp|atyp|atyp|atyp,5|4|1|4,1|1|1|1,dis|sim|dis|sim,Atypical|Atypical|Atypical|Atypical,Atypical_FLOWER.tga|Atypical_CLOCK.tga|Atypical_GRENADE.tga|Atypical_SCISSORS.tga,FLOWER|CLOCK|GRENADE|SCISSORS,Atypical_FLOWER_atyp_dis5.bmp|Atypical_CLOCK_atyp_sim4.bmp|Atypical_GRENADE_atyp_dis1.bmp|Atypical_SCISSORS_atyp_sim4.bmp,FLOWER_atyp_dis5.tga|CLOCK_atyp_sim4.tga|GRENADE_atyp_dis1.tga|SCISSORS_atyp_sim4.tga,FLOWER|CLOCK|GRENADE|SCISSORS,1,2,1,1,21|14|23|34,Atypical_FLOWER.tga|CLOCK_atyp_sim4.tga|Atypical_GRENADE.tga|SCISSORS_atyp_sim4.tga,FLOWER_atyp_dis5.tga|Atypical_CLOCK.tga|GRENADE_atyp_dis1.tga|Atypical_SCISSORS.tga,,
3NRZ1LDP7WXAWMH9EFC6UQ52TXYPZT,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,37UQDCYH6YM74G6S7YYOXIX7DV77VH,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:39:36 PST 2017,Thu Feb 23 10:39:59 PST 2017,Thu Mar 02 10:39:59 PST 2017,,,,23,0% (0/0),0% (0/0),0% (0/0),1,CANDLE,CANDLE,12,Atypical,atyp,dis,3,Atypical_CANDLE.tga,CANDLE_atyp_dis3.tga,CANDLE_atyp_dis3.tga,Atypical_CANDLE.tga,Atypical_CANDLE_atyp_dis3.bmp,CLOCK,CLOCK,14,Typical,atyp,sim,5,Typical_CLOCK.tga,CLOCK_atyp_sim5.tga,CLOCK_atyp_sim5.tga,Typical_CLOCK.tga,Typical_CLOCK_atyp_sim5.bmp,DOG,DOG,16,Atypical,typ,dis,5,Atypical_DOG.tga,DOG_typ_dis5.tga,DOG_typ_dis5.tga,Atypical_DOG.tga,Atypical_DOG_typ_dis5.bmp,FAN,FAN,20,Atypical,typ,sim,2,Atypical_FAN.tga,FAN_typ_sim2.tga,FAN_typ_sim2.tga,Atypical_FAN.tga,Atypical_FAN_typ_sim2.bmp,atyp|atyp|typ|typ,3|5|5|2,1|1|1|1,dis|sim|dis|sim,Atypical|Typical|Atypical|Atypical,Atypical_CANDLE.tga|Typical_CLOCK.tga|Atypical_DOG.tga|Atypical_FAN.tga,CANDLE|CLOCK|DOG|FAN,Atypical_CANDLE_atyp_dis3.bmp|Typical_CLOCK_atyp_sim5.bmp|Atypical_DOG_typ_dis5.bmp|Atypical_FAN_typ_sim2.bmp,CANDLE_atyp_dis3.tga|CLOCK_atyp_sim5.tga|DOG_typ_dis5.tga|FAN_typ_sim2.tga,CANDLE|CLOCK|DOG|FAN,1,1,1,1,12|14|16|20,CANDLE_atyp_dis3.tga|CLOCK_atyp_sim5.tga|DOG_typ_dis5.tga|FAN_typ_sim2.tga,Atypical_CANDLE.tga|Typical_CLOCK.tga|Atypical_DOG.tga|Atypical_FAN.tga,,
3LCXHSGDLTX9YJ65A92N4L9VSBWSE6,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,34X6J5FLPUP8J3BDM8TBUL38NYRJQ5,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:37:44 PST 2017,Thu Feb 23 10:38:03 PST 2017,Thu Mar 02 10:38:03 PST 2017,,,,19,0% (0/0),0% (0/0),0% (0/0),1,GRENADE,GRENADE,23,Typical,atyp,dis,2,Typical_GRENADE.tga,GRENADE_atyp_dis2.tga,Typical_GRENADE.tga,GRENADE_atyp_dis2.tga,Typical_GRENADE_atyp_dis2.bmp,BENCH,BENCH,5,Atypical,atyp,sim,2,Atypical_BENCH.tga,BENCH_atyp_sim2.tga,Atypical_BENCH.tga,BENCH_atyp_sim2.tga,Atypical_BENCH_atyp_sim2.bmp,DRILL,DRILL,18,Typical,typ,dis,2,Typical_DRILL.tga,DRILL_typ_dis2.tga,DRILL_typ_dis2.tga,Typical_DRILL.tga,Typical_DRILL_typ_dis2.bmp,AXE,AXE,2,Atypical,atyp,dis,3,Atypical_AXE.tga,AXE_atyp_dis3.tga,AXE_atyp_dis3.tga,Atypical_AXE.tga,Atypical_AXE_atyp_dis3.bmp,atyp|atyp|typ|atyp,2|2|2|3,1|1|1|1,dis|sim|dis|dis,Typical|Atypical|Typical|Atypical,Typical_GRENADE.tga|Atypical_BENCH.tga|Typical_DRILL.tga|Atypical_AXE.tga,GRENADE|BENCH|DRILL|AXE,Typical_GRENADE_atyp_dis2.bmp|Atypical_BENCH_atyp_sim2.bmp|Typical_DRILL_typ_dis2.bmp|Atypical_AXE_atyp_dis3.bmp,GRENADE_atyp_dis2.tga|BENCH_atyp_sim2.tga|DRILL_typ_dis2.tga|AXE_atyp_dis3.tga,GRENADE|BENCH|DRILL|AXE,1,1,1,1,23|5|18|2,Typical_GRENADE.tga|Atypical_BENCH.tga|DRILL_typ_dis2.tga|AXE_atyp_dis3.tga,GRENADE_atyp_dis2.tga|BENCH_atyp_sim2.tga|Typical_DRILL.tga|Atypical_AXE.tga,,
3UYRNV2KITQV9549PAZ1DH33U9QN8Q,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,3LBXNTKX0SM3MOZGMAXQZZLYOW39XY,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:38:57 PST 2017,Thu Feb 23 10:39:18 PST 2017,Thu Mar 02 10:39:18 PST 2017,,,,21,0% (0/0),0% (0/0),0% (0/0),1,HEADPHONES,HEADPHONES,26,Atypical,typ,dis,5,Atypical_HEADPHONES.tga,HEADPHONES_typ_dis5.tga,HEADPHONES_typ_dis5.tga,Atypical_HEADPHONES.tga,Atypical_HEADPHONES_typ_dis5.bmp,CACTUS,CACTUS,9,Typical,typ,sim,5,Typical_CACTUS.tga,CACTUS_typ_sim5.tga,Typical_CACTUS.tga,CACTUS_typ_sim5.tga,Typical_CACTUS_typ_sim5.bmp,CAMERA,CAMERA,11,Typical,typ,sim,1,Typical_CAMERA.tga,CAMERA_typ_sim1.tga,Typical_CAMERA.tga,CAMERA_typ_sim1.tga,Typical_CAMERA_typ_sim1.bmp,CAMERA,CAMERA,11,Atypical,atyp,dis,5,Atypical_CAMERA.tga,CAMERA_atyp_dis5.tga,Atypical_CAMERA.tga,CAMERA_atyp_dis5.tga,Atypical_CAMERA_atyp_dis5.bmp,typ|typ|typ|atyp,5|5|1|5,1|1|1|1,dis|sim|sim|dis,Atypical|Typical|Typical|Atypical,Atypical_HEADPHONES.tga|Typical_CACTUS.tga|Typical_CAMERA.tga|Atypical_CAMERA.tga,HEADPHONES|CACTUS|CAMERA|CAMERA,Atypical_HEADPHONES_typ_dis5.bmp|Typical_CACTUS_typ_sim5.bmp|Typical_CAMERA_typ_sim1.bmp|Atypical_CAMERA_atyp_dis5.bmp,HEADPHONES_typ_dis5.tga|CACTUS_typ_sim5.tga|CAMERA_typ_sim1.tga|CAMERA_atyp_dis5.tga,HEADPHONES|CACTUS|CAMERA|CAMERA,1,3,4,1,26|9|11|11,HEADPHONES_typ_dis5.tga|Typical_CACTUS.tga|Typical_CAMERA.tga|Atypical_CAMERA.tga,Atypical_HEADPHONES.tga|CACTUS_typ_sim5.tga|CAMERA_typ_sim1.tga|CAMERA_atyp_dis5.tga,,
337F8MIIMZ4R58P0C17QLTRLKUK04M,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,3CCZ6YKWR8AUK5F6G4EV7GUEVXT95O,A10443E11ZWEHJ,Submitted,Thu Feb 23 10:38:04 PST 2017,Thu Feb 23 10:38:23 PST 2017,Thu Mar 02 10:38:23 PST 2017,,,,19,0% (0/0),0% (0/0),0% (0/0),1,WRENCH,WRENCH,40,Typical,typ,sim,3,Typical_WRENCH.tga,WRENCH_typ_sim3.tga,WRENCH_typ_sim3.tga,Typical_WRENCH.tga,Typical_WRENCH_typ_sim3.bmp,APPLE,APPLE,1,Atypical,atyp,dis,5,Atypical_APPLE.tga,APPLE_atyp_dis5.tga,Atypical_APPLE.tga,APPLE_atyp_dis5.tga,Atypical_APPLE_atyp_dis5.bmp,HEADPHONES2,HEADPHONES,26,Typical,atyp,sim,1,Typical_HEADPHONES.tga,HEADPHONES_atyp_sim1.tga,HEADPHONES_atyp_sim1.tga,Typical_HEADPHONES.tga,Typical_HEADPHONES_atyp_sim1.bmp,CUP,CUP,15,Typical,atyp,sim,3,Typical_CUP.tga,CUP_atyp_sim3.tga,Typical_CUP.tga,CUP_atyp_sim3.tga,Typical_CUP_atyp_sim3.bmp,typ|atyp|atyp|atyp,3|5|1|3,1|1|1|1,sim|dis|sim|sim,Typical|Atypical|Typical|Typical,Typical_WRENCH.tga|Atypical_APPLE.tga|Typical_HEADPHONES.tga|Typical_CUP.tga,WRENCH|APPLE|HEADPHONES2|CUP,Typical_WRENCH_typ_sim3.bmp|Atypical_APPLE_atyp_dis5.bmp|Typical_HEADPHONES_atyp_sim1.bmp|Typical_CUP_atyp_sim3.bmp,WRENCH_typ_sim3.tga|APPLE_atyp_dis5.tga|HEADPHONES_atyp_sim1.tga|CUP_atyp_sim3.tga,WRENCH|APPLE|HEADPHONES|CUP,4,1,1,1,40|1|26|15,WRENCH_typ_sim3.tga|Atypical_APPLE.tga|HEADPHONES_atyp_sim1.tga|Typical_CUP.tga,Typical_WRENCH.tga|APPLE_atyp_dis5.tga|Typical_HEADPHONES.tga|CUP_atyp_sim3.tga,,
3UQVX1UPFS8H2UAD8NO2SEUN0GO02Q,373MH2DFEYS6RYOOJGTFJFP1SGBHBW,Visual Similarity of Two Objects,Select on a scale from 1 to 7 how visually similar or dissimilar two given objects in an image are.,psychology visual cognition scale similarity rate,$0.08 ,Thu Feb 23 10:33:17 PST 2017,9,BatchId:2698958;OriginalHitTemplateId:920937336;,240,604800,Thu Mar 02 10:33:17 PST 2017,,,32VNZTT0A8VISM7SWGV7T9OU1N3R4N,A15FXOOCN5RT0,Submitted,Thu Feb 23 10:37:40 PST 2017,Thu Feb 23 10:38:05 PST 2017,Thu Mar 02 10:38:05 PST 2017,,,,25,0% (0/0),0% (0/0),0% (0/0),1,GLASSES,GLASSES,22,Typical,atyp,dis,4,Typical_GLASSES.tga,GLASSES_atyp_dis4.tga,GLASSES_atyp_dis4.tga,Typical_GLASSES.tga,Typical_GLASSES_atyp_dis4.bmp,DRUM,DRUM,19,Atypical,typ,sim,4,Atypical_DRUM.tga,DRUM_typ_sim4.tga,Atypical_DRUM.tga,DRUM_typ_sim4.tga,Atypical_DRUM_typ_sim4.bmp,HELMET,HELMET,27,Typical,typ,dis,4,Typical_HELMET.tga,HELMET_typ_dis4.tga,Typical_HELMET.tga,HELMET_typ_dis4.tga,Typical_HELMET_typ_dis4.bmp,GLASSES,GLASSES,22,Atypical,atyp,dis,3,Atypical_GLASSES.tga,GLASSES_atyp_dis3.tga,GLASSES_atyp_dis3.tga,Atypical_GLASSES.tga,Atypical_GLASSES_atyp_dis3.bmp,atyp|typ|typ|atyp,4|4|4|3,1|1|1|1,dis|sim|dis|dis,Typical|Atypical|Typical|Atypical,Typical_GLASSES.tga|Atypical_DRUM.tga|Typical_HELMET.tga|Atypical_GLASSES.tga,GLASSES|DRUM|HELMET|GLASSES,Typical_GLASSES_atyp_dis4.bmp|Atypical_DRUM_typ_sim4.bmp|Typical_HELMET_typ_dis4.bmp|Atypical_GLASSES_atyp_dis3.bmp,GLASSES_atyp_dis4.tga|DRUM_typ_sim4.tga|HELMET_typ_dis4.tga|GLASSES_atyp_dis3.tga,GLASSES|DRUM|HELMET|GLASSES,1,1,1,2,22|19|27|22,GLASSES_atyp_dis4.tga|Atypical_DRUM.tga|Typical_HELMET.tga|GLASSES_atyp_dis3.tga,Typical_GLASSES.tga|DRUM_typ_sim4.tga|HELMET_typ_dis4.tga|Atypical_GLASSES.tga,,
