SUBJECT-FILE,category,filename,item,Tar_typ,Dis_Typ,Sim-Dif,Dis_num,Tarpic,dispic,leftpic,rightpic,compare-image
18,DOG,DOG,16,Atypical,typ,dis,2,Atypical_DOG.tga,DOG_typ_dis2.tga,DOG_typ_dis2.tga,Atypical_DOG.tga,Atypical_DOG_typ_dis2.bmp
18,GLASSES ,GLASSES,22,Atypical,atyp,sim,5,Atypical_GLASSES.tga,GLASSES_atyp_sim5.tga,GLASSES_atyp_sim5.tga,Atypical_GLASSES.tga,Atypical_GLASSES_atyp_sim5.bmp
18,STAPLER ,STAPLER,35,Typical,typ,dis,5,Typical_STAPLER.tga,STAPLER_typ_dis5.tga,STAPLER_typ_dis5.tga,Typical_STAPLER.tga,Typical_STAPLER_typ_dis5.bmp
18,DOORKNOB ,DOORKNOB,17,Atypical,typ,sim,5,Atypical_DOORKNOB.tga,DOORKNOB_typ_sim5.tga,Atypical_DOORKNOB.tga,DOORKNOB_typ_sim5.tga,Atypical_DOORKNOB_typ_sim5.bmp
18,BAG ,BAG,3,Atypical,atyp,sim,3,Atypical_BAG.tga,BAG_atyp_sim3.tga,Atypical_BAG.tga,BAG_atyp_sim3.tga,Atypical_BAG_atyp_sim3.bmp
18,DRILL ,DRILL,18,Typical,typ,sim,4,Typical_DRILL.tga,DRILL_typ_sim4.tga,Typical_DRILL.tga,DRILL_typ_sim4.tga,Typical_DRILL_typ_sim4.bmp
18,AXE ,AXE,2,Typical,atyp,dis,1,Typical_AXE.tga,AXE_atyp_dis1.tga,Typical_AXE.tga,AXE_atyp_dis1.tga,Typical_AXE_atyp_dis1.bmp
18,DRUM ,DRUM,19,Typical,typ,sim,2,Typical_DRUM.tga,DRUM_typ_sim2.tga,DRUM_typ_sim2.tga,Typical_DRUM.tga,Typical_DRUM_typ_sim2.bmp
18,WRENCH ,WRENCH,40,Typical,atyp,dis,5,Typical_WRENCH.tga,WRENCH_atyp_dis5.tga,Typical_WRENCH.tga,WRENCH_atyp_dis5.tga,Typical_WRENCH_atyp_dis5.bmp
18,CANDLE ,CANDLE,12,Atypical,atyp,sim,5,Atypical_CANDLE.tga,CANDLE_atyp_sim5.tga,CANDLE_atyp_sim5.tga,Atypical_CANDLE.tga,Atypical_CANDLE_atyp_sim5.bmp
18,HAMMER ,HAMMER,24,Typical,atyp,sim,2,Typical_HAMMER.tga,HAMMER_atyp_sim2.tga,Typical_HAMMER.tga,HAMMER_atyp_sim2.tga,Typical_HAMMER_atyp_sim2.bmp
18,PISTOL ,PISTOL,32,Atypical,atyp,sim,5,Atypical_PISTOL.tga,PISTOL_atyp_sim5.tga,PISTOL_atyp_sim5.tga,Atypical_PISTOL.tga,Atypical_PISTOL_atyp_sim5.bmp
18,CANDLE ,CANDLE,12,Typical,atyp,dis,1,Typical_CANDLE.tga,CANDLE_atyp_dis1.tga,Typical_CANDLE.tga,CANDLE_atyp_dis1.tga,Typical_CANDLE_atyp_dis1.bmp
18,FAN ,FAN,20,Typical,atyp,dis,5,Typical_FAN.tga,FAN_atyp_dis5.tga,Typical_FAN.tga,FAN_atyp_dis5.tga,Typical_FAN_atyp_dis5.bmp
18,WRENCH ,WRENCH,40,Atypical,atyp,dis,4,Atypical_WRENCH.tga,WRENCH_atyp_dis4.tga,WRENCH_atyp_dis4.tga,Atypical_WRENCH.tga,Atypical_WRENCH_atyp_dis4.bmp
18,CAKE ,CAKE,10,Typical,atyp,dis,5,Typical_CAKE.tga,CAKE_atyp_dis5.tga,Typical_CAKE.tga,CAKE_atyp_dis5.tga,Typical_CAKE_atyp_dis5.bmp
18,PISTOL ,PISTOL,32,Typical,atyp,dis,1,Typical_PISTOL.tga,PISTOL_atyp_dis1.tga,Typical_PISTOL.tga,PISTOL_atyp_dis1.tga,Typical_PISTOL_atyp_dis1.bmp
18,HAT ,HAT,25,Atypical,typ,dis,4,Atypical_HAT.tga,HAT_typ_dis4.tga,Atypical_HAT.tga,HAT_typ_dis4.tga,Atypical_HAT_typ_dis4.bmp
18,SWORD ,SWORD,36,Atypical,typ,dis,2,Atypical_SWORD.tga,SWORD_typ_dis2.tga,SWORD_typ_dis2.tga,Atypical_SWORD.tga,Atypical_SWORD_typ_dis2.bmp
18,LAMP ,LAMP,29,Typical,typ,sim,2,Typical_LAMP.tga,LAMP_typ_sim2.tga,LAMP_typ_sim2.tga,Typical_LAMP.tga,Typical_LAMP_typ_sim2.bmp
18,CHAIR ,CHAIR,13,Typical,atyp,sim,4,Typical_CHAIR.tga,CHAIR_atyp_sim4.tga,CHAIR_atyp_sim4.tga,Typical_CHAIR.tga,Typical_CHAIR_atyp_sim4.bmp
18,BOTTLE ,BOTTLE,7,Typical,typ,dis,1,Typical_BOTTLE.tga,BOTTLE_typ_dis1.tga,BOTTLE_typ_dis1.tga,Typical_BOTTLE.tga,Typical_BOTTLE_typ_dis1.bmp
18,PIPE ,PIPE,31,Typical,atyp,dis,3,Typical_PIPE.tga,PIPE_atyp_dis3.tga,PIPE_atyp_dis3.tga,Typical_PIPE.tga,Typical_PIPE_atyp_dis3.bmp
18,TELEPHONE ,TELEPHONE,39,Typical,typ,sim,2,Typical_TELEPHONE.tga,TELEPHONE_typ_sim2.tga,TELEPHONE_typ_sim2.tga,Typical_TELEPHONE.tga,Typical_TELEPHONE_typ_sim2.bmp
18,HEADPHONES2,HEADPHONES,26,Atypical,typ,dis,2,Atypical_HEADPHONES.tga,HEADPHONES_typ_dis2.tga,HEADPHONES_typ_dis2.tga,Atypical_HEADPHONES.tga,Atypical_HEADPHONES_typ_dis2.bmp
18,HAMMER ,HAMMER,24,Atypical,atyp,sim,1,Atypical_HAMMER.tga,HAMMER_atyp_sim1.tga,HAMMER_atyp_sim1.tga,Atypical_HAMMER.tga,Atypical_HAMMER_atyp_sim1.bmp
18,HELMET ,HELMET,27,Typical,typ,dis,1,Typical_HELMET.tga,HELMET_typ_dis1.tga,HELMET_typ_dis1.tga,Typical_HELMET.tga,Typical_HELMET_typ_dis1.bmp
18,BAG ,BAG,3,Typical,atyp,sim,4,Typical_BAG.tga,BAG_atyp_sim4.tga,BAG_atyp_sim4.tga,Typical_BAG.tga,Typical_BAG_atyp_sim4.bmp
18,TELEPHONE ,TELEPHONE,39,Atypical,typ,sim,1,Atypical_TELEPHONE.tga,TELEPHONE_typ_sim1.tga,Atypical_TELEPHONE.tga,TELEPHONE_typ_sim1.tga,Atypical_TELEPHONE_typ_sim1.bmp
18,BRIEFCASE,BRIEFCASE,8,Atypical,typ,sim,3,Atypical_BRIEFCASE.tga,BRIEFCASE_typ_sim3.tga,BRIEFCASE_typ_sim3.tga,Atypical_BRIEFCASE.tga,Atypical_BRIEFCASE_typ_sim3.bmp
